WKT,NAME,SpeciesName,Date,NameDate,URL
"MULTIPOINT ((153.18517 -27.75596))",Greater Glider,"Petauroides volans (Kerr, 1792)",2019-11-30T20:00:44.000,Greater Glider 2019-11-30T20:00:44,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.12671 -27.77423))",Greater Glider,"Petauroides volans (Kerr, 1792)",2019-12-03T00:00:00.000,Greater Glider 2019-12-03T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.20251 -27.91469))",Greater Glider,"Petauroides volans (Kerr, 1792)",2019-12-29T00:00:00.000,Greater Glider 2019-12-29T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.32371 -27.97604))",Greater Glider,"Petauroides volans (Kerr, 1792)",2018-03-17T00:00:00.000,Greater Glider 2018-03-17T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.31889 -27.96966))",Greater Glider,"Petauroides volans (Kerr, 1792)",2018-03-17T00:00:00.000,Greater Glider 2018-03-17T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.31883 -27.97225))",Greater Glider,"Petauroides volans (Kerr, 1792)",2018-03-17T00:00:00.000,Greater Glider 2018-03-17T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.31873 -27.97318))",Greater Glider,"Petauroides volans (Kerr, 1792)",2018-03-17T00:00:00.000,Greater Glider 2018-03-17T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.31763 -27.97693))",Greater Glider,"Petauroides volans (Kerr, 1792)",2018-03-17T00:00:00.000,Greater Glider 2018-03-17T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.18612 -27.91119))",Greater Glider,"Petauroides volans (Kerr, 1792)",2017-09-26T00:00:00.000,Greater Glider 2017-09-26T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66752 -28.3477))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-20T00:00:00.000,Greater Glider 2015-01-20T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66497 -28.34875))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-20T00:00:00.000,Greater Glider 2015-01-20T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66918 -28.35063))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-20T00:00:00.000,Greater Glider 2015-01-20T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66675 -28.34784))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-21T00:00:00.000,Greater Glider 2015-01-21T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66946 -28.33577))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-15T00:00:00.000,Greater Glider 2015-01-15T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.65274 -28.35329))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-21T00:00:00.000,Greater Glider 2015-01-21T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.65274 -28.35329))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-21T00:00:00.000,Greater Glider 2015-01-21T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.6715 -28.33645))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-02-18T00:00:00.000,Greater Glider 2015-02-18T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.65957 -28.36394))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-02-25T00:00:00.000,Greater Glider 2015-02-25T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66712 -28.42946))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-04-22T00:00:00.000,Greater Glider 2015-04-22T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.67681 -28.418))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-06-09T00:00:00.000,Greater Glider 2015-06-09T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.68017 -28.43016))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-06-09T00:00:00.000,Greater Glider 2015-06-09T00:00:00,https://wildlife.org.au/queensland-glider-network/
